OverallQual,GrLivArea,Neighborhood,YearBuilt,GarageCars,SalePrice
7,1710,CollgCr,2003,2,208500
6,1262,Veenker,1976,2,181500
7,1786,CollgCr,2001,2,223500
7,1717,Crawfor,1915,3,140000
8,2198,NoRidge,2000,3,250000
5,1362,Mitchel,1993,2,143000
8,1694,Somerst,2004,2,307000
7,2090,NWAmes,1973,2,200000
7,1774,OldTown,1931,2,129900
5,1077,BrkSide,1939,1,118000
5,1040,Sawyer,1965,1,129500
9,2324,NridgHt,2005,3,345000
5,912,Sawyer,1962,1,144000
7,1494,CollgCr,2006,3,279500
6,1253,NAmes,1960,1,157000
7,854,BrkSide,1929,2,132000
6,1004,NAmes,1970,2,149000
4,1296,Sawyer,1967,2,90000
5,1114,SawyerW,2004,2,159000
5,1339,NAmes,1958,1,139000
8,2376,NridgHt,2005,3,325300
7,1108,IDOTRR,1930,1,139400
8,1795,CollgCr,2002,2,230000
5,1060,MeadowV,1976,2,129900
5,1060,Sawyer,1968,1,154000
8,1600,NridgHt,2007,3,256300
5,900,NAmes,1951,2,134800
8,1704,NridgHt,2007,3,306000
5,1600,NAmes,1957,1,207500
4,520,BrkSide,1927,1,68500
4,1317,IDOTRR,1920,1,40000
5,1228,Sawyer,1966,1,149350
8,1234,CollgCr,2007,2,179900
5,1700,NAmes,1959,2,165500
9,1561,NridgHt,2005,2,277500
8,2452,NridgHt,2004,3,309000
5,1097,CollgCr,1994,2,145000
5,1297,NAmes,1954,2,153000
5,1057,NAmes,1953,1,109000
4,1152,Edwards,1955,0,82000
6,1324,NAmes,1965,2,160000
5,1328,Timber,1959,1,170000
5,884,SawyerW,1983,2,144000
5,938,CollgCr,1975,1,130250
5,1150,NAmes,1959,1,141000
9,1752,NridgHt,2005,2,319900
7,2149,Mitchel,2003,2,239686
8,1656,Somerst,2006,3,249700
4,1452,OldTown,1920,0,113000
5,955,Sawyer,1966,1,127000
6,1470,Gilbert,1997,2,177000
6,1176,BrkSide,1934,2,114500
5,816,IDOTRR,1963,2,110000
9,1842,Veenker,1981,3,385000
5,1360,NAmes,1955,2,130000
6,1425,NAmes,1964,2,180500
8,1739,Somerst,1999,2,172500
7,1720,CollgCr,2004,2,196500
10,2945,StoneBr,2006,3,438780
5,780,CollgCr,1972,1,124900
6,1158,SawyerW,2004,2,158000
5,1111,IDOTRR,1920,1,101000
8,1370,NridgHt,2006,2,202500
7,1710,OldTown,1921,2,140000
7,2034,CollgCr,1997,2,219500
8,2473,NridgHt,2004,3,317000
7,2207,NAmes,1970,2,180000
7,1479,CollgCr,2003,2,226000
4,747,OldTown,1945,1,80000
7,2287,ClearCr,1953,2,225000
7,2223,NAmes,1973,2,244000
4,845,Mitchel,1982,2,129500
7,1718,Gilbert,1998,2,185000
5,1086,NAmes,1954,2,144900
3,1605,OldTown,1915,1,107400
4,988,MeadowV,1973,1,91000
4,952,NAmes,1956,1,135750
5,1285,BrkSide,1948,1,127000
4,1768,Sawyer,1968,0,136500
5,1230,OldTown,1910,2,110000
6,2142,NAmes,1968,1,193500
6,1337,Mitchel,1998,2,153500
8,1563,Somerst,2007,3,245000
5,1065,NAmes,1960,2,126500
7,1474,Gilbert,1995,2,168500
8,2417,NoRidge,1991,2,260000
6,1560,Gilbert,2005,2,174000
6,1224,Somerst,2009,2,164500
3,1526,IDOTRR,1915,0,85000
4,990,CollgCr,1994,0,123600
4,1040,NAmes,1950,2,109900
5,1235,NAmes,1961,2,98600
5,964,Crawfor,1921,2,163500
6,2291,OldTown,1910,2,133900
6,1786,CollgCr,1997,2,204750
6,1470,Gilbert,1993,2,185000
7,1588,CollgCr,1999,2,214000
4,960,Edwards,1965,1,94750
5,835,Edwards,1920,1,83000
4,1225,NAmes,1959,0,128950
6,1610,NWAmes,1977,2,205000
6,1732,SawyerW,1985,2,178000
5,1535,SawyerW,1979,2,118964
7,1226,CollgCr,2009,3,198900
7,1818,IDOTRR,1931,1,169500
8,1992,Somerst,2003,2,250000
4,1047,OldTown,1885,1,100000
5,789,OldTown,1948,1,115000
5,1517,IDOTRR,1919,0,115000
6,1844,NWAmes,1977,2,190000
6,1855,Edwards,1954,1,136900
7,1430,Gilbert,2000,2,180000
7,2696,CollgCr,2007,3,383970
6,2259,Crawfor,1953,2,217000
6,2320,Crawfor,1945,1,259500
6,1458,Somerst,1999,2,176000
5,1092,Sawyer,1962,1,139000
5,1125,Edwards,2006,2,155000
7,3222,SawyerW,1990,3,320000
6,1456,CollgCr,2005,2,163990
6,988,ClearCr,1969,2,180000
4,1123,IDOTRR,1939,1,100000
6,1080,NAmes,1958,1,136000
6,1199,SawyerW,1993,2,153900
6,1586,NWAmes,1979,2,181000
6,754,IDOTRR,1935,0,84500
6,958,NPkVill,1976,2,128000
